,director_name,id
1125,Joseph L. Mankiewicz,10601.0
1128,Barbra Streisand,10400.0
1129,Mark Pellington,11676.0
1131,John Glen,10179.0
1132,Catherine Hardwicke,19850.0
1133,John Herzfeld,27846.0
1134,Annabel Jankel,58164.0
1137,Julie Anne Robinson,114597.0
1138,Seth Rogen,19274.0
1139,Sngmoo Lee,141169.0
1142,Jamel Debbouze,2408.0
1144,Gordon Chan,64901.0
1146,Asger Leth,72344.0
1148,John G. Avildsen,16513.0
1150,Anne Fletcher,29214.0
1151,Bruce Beresford,5696.0
1154,Sam Taylor-Johnson,1137903.0
1162,Ken Kwapis,29009.0
1164,Wes Craven,5140.0
1166,Etan Cohen,52803.0
1185,Nick Cassavetes,11151.0
1189,Nicholas Stoller,52934.0
1192,Mark A.Z. Dippé,87130.0
1198,Callan Brunker,1098477.0
1201,Nimród Antal,41671.0
1204,Alejandro Agresti,21031.0
1206,Peter Hedges,3290.0
1207,Paul Weiland,66548.0
1213,Colin Strause,6037.0
1215,Joan Chen,6720.0
1217,Greg Mottola,54733.0
1222,Jake Kasdan,51851.0
1223,Diane Keaton,3092.0
1225,Kelly Makin,64030.0
1231,Stephen Daldry,468.0
1234,Christian Duguay,25735.0
1240,Justin Chadwick,71570.0
1241,Pat O'Connor,19969.0
1246,Frederik Du Chau,50582.0
1248,Irwin Winkler,11472.0
1249,Joseph Kahn,66823.0
1252,Sofia Coppola,1769.0
1254,Stephen T. Kay,56435.0
1255,Juan Antonio Bayona,51894.0
1256,Elaine May,58251.0
1261,Dennie Gordon,66960.0
1262,Charles Shyer,56106.0
1264,Ulu Grosbard,140354.0
1265,William Malone,57898.0
1268,Malcolm D. Lee,72024.0
1269,Jerry Jameson,52094.0
1270,Mic Rodgers,18889.0
1271,Christian Alvart,54559.0
1274,Jean-Marie Poiré,64909.0
1277,Marc F. Adler,86295.0
1279,Geoffrey Sax,61357.0
1282,Richard Shepard,44740.0
1284,Peter Chan,56739.0
1285,Sergei Bodrov Jr.,71871.0
1286,Bong Joon-ho,21684.0
1287,Bibo Bergeron,65629.0
1288,Jeff Nathanson,2689.0
1290,S.S. Rajamouli,147021.0
1295,Charles S. Dutton,17764.0
1301,Jonathan Lynn,21217.0
1303,David Carson,2380.0
1304,Wong Kar-wai,12453.0
1306,Yuefeng Song,1496406.0
1307,Norman Jewison,13563.0
1309,David Mirkin,58178.0
1311,Luis Mandoki,46085.0
1316,Lee Daniels,20019.0
1320,Jeb Stuart,7671.0
1321,Steve Miner,58712.0
1323,Paul Thomas Anderson,4762.0
1324,David Leland,33317.0
1326,J Blakeson,111588.0
1327,Ryan Coogler,1056121.0
1329,Kirk Jones,64045.0
1331,Jennifer Flackett,66218.0
